"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",586,14000,16000,17000,22000,30000,32000,38000,42000,48000
"Total",586,14000,16000,17000,22000,30000,32000,38000,42000,48000
